Aar;Mnd;Dag;Time;Ukedag;PrisOre
2020;1;26;16;7;22.74
2020;1;26;17;7;22.92
2020;1;26;18;7;22.83
2020;1;26;19;7;22.61
2020;1;26;20;7;22.20
2020;1;26;21;7;21.80
2020;1;26;22;7;21.57
2020;1;26;23;7;21.32
2020;1;27;0;1;21.00
2020;1;27;1;1;20.80
2020;1;27;2;1;20.68
2020;1;27;3;1;20.79
2020;1;27;4;1;21.23
2020;1;27;5;1;21.54
2020;1;27;6;1;22.25
2020;1;27;7;1;22.74
2020;1;27;8;1;22.90
2020;1;27;9;1;22.88
2020;1;27;10;1;22.90
2020;1;27;11;1;22.89
2020;1;27;12;1;22.90
2020;1;27;13;1;22.90
2020;1;27;14;1;22.97
2020;1;27;15;1;23.23
2020;1;27;16;1;24.16
2020;1;27;17;1;25.67
2020;1;27;18;1;24.74
2020;1;27;19;1;23.20
2020;1;27;20;1;22.73
2020;1;27;21;1;22.62
2020;1;27;22;1;22.18
2020;1;27;23;1;21.81
2020;1;28;0;2;21.63
2020;1;28;1;2;21.60
2020;1;28;2;2;21.60
2020;1;28;3;2;21.65
2020;1;28;4;2;21.88
2020;1;28;5;2;22.14
2020;1;28;6;2;22.79
2020;1;28;7;2;25.02
2020;1;28;8;2;25.28
2020;1;28;9;2;25.13
2020;1;28;10;2;25.17
2020;1;28;11;2;24.97
2020;1;28;12;2;24.69
2020;1;28;13;2;24.67
2020;1;28;14;2;24.68
2020;1;28;15;2;25.13
2020;1;28;16;2;25.41
2020;1;28;17;2;25.37
2020;1;28;18;2;24.71
2020;1;28;19;2;24.13
2020;1;28;20;2;23.05
2020;1;28;21;2;22.67
2020;1;28;22;2;22.02
2020;1;28;23;2;21.58
2020;1;29;0;3;21.44
2020;1;29;1;3;21.04
2020;1;29;2;3;20.59
2020;1;29;3;3;21.07
2020;1;29;4;3;21.46
2020;1;29;5;3;21.80
2020;1;29;6;3;22.58
2020;1;29;7;3;23.12
2020;1;29;8;3;23.52
2020;1;29;9;3;23.37
2020;1;29;10;3;23.34
2020;1;29;11;3;23.31
2020;1;29;12;3;23.09
2020;1;29;13;3;23.04
2020;1;29;14;3;23.03
2020;1;29;15;3;23.08
2020;1;29;16;3;23.45
2020;1;29;17;3;23.76
2020;1;29;18;3;23.49
2020;1;29;19;3;23.20
2020;1;29;20;3;22.89
2020;1;29;21;3;22.68
2020;1;29;22;3;22.15
2020;1;29;23;3;21.52
2020;1;30;0;4;21.24
2020;1;30;1;4;21.13
2020;1;30;2;4;21.15
2020;1;30;3;4;21.23
2020;1;30;4;4;21.39
2020;1;30;5;4;22.15
2020;1;30;6;4;22.76
2020;1;30;7;4;23.67
2020;1;30;8;4;24.10
2020;1;30;9;4;23.99
2020;1;30;10;4;24.12
2020;1;30;11;4;24.08
2020;1;30;12;4;24.06
2020;1;30;13;4;23.98
2020;1;30;14;4;23.88
2020;1;30;15;4;23.99
2020;1;30;16;4;24.14
2020;1;30;17;4;24.25
2020;1;30;18;4;23.81
2020;1;30;19;4;23.04
2020;1;30;20;4;22.59
2020;1;30;21;4;22.29
2020;1;30;22;4;21.78
2020;1;30;23;4;21.02
2020;1;31;0;5;18.77
2020;1;31;1;5;17.17
2020;1;31;2;5;16.78
2020;1;31;3;5;16.91
2020;1;31;4;5;18.00
2020;1;31;5;5;19.16
2020;1;31;6;5;20.65
2020;1;31;7;5;21.42
2020;1;31;8;5;21.64
2020;1;31;9;5;21.49
2020;1;31;10;5;21.40
2020;1;31;11;5;21.29
2020;1;31;12;5;21.15
2020;1;31;13;5;21.07
2020;1;31;14;5;21.01
2020;1;31;15;5;21.01
2020;1;31;16;5;21.30
2020;1;31;17;5;21.45
2020;1;31;18;5;21.30
2020;1;31;19;5;21.04
2020;1;31;20;5;20.51
2020;1;31;21;5;20.10
2020;1;31;22;5;19.66
2020;1;31;23;5;18.36
2020;2;1;0;6;16.25
2020;2;1;1;6;16.34
2020;2;1;2;6;16.33
2020;2;1;3;6;16.50
2020;2;1;4;6;16.73
2020;2;1;5;6;17.00
2020;2;1;6;6;17.27
2020;2;1;7;6;17.20
2020;2;1;8;6;17.27
2020;2;1;9;6;17.50
2020;2;1;10;6;17.58
2020;2;1;11;6;17.51
2020;2;1;12;6;17.39
2020;2;1;13;6;17.29
2020;2;1;14;6;17.25
2020;2;1;15;6;17.28
2020;2;1;16;6;17.51
2020;2;1;17;6;18.04
2020;2;1;18;6;18.23
2020;2;1;19;6;17.18
2020;2;1;20;6;16.59
2020;2;1;21;6;15.97
2020;2;1;22;6;14.64
2020;2;1;23;6;14.56
2020;2;2;0;7;14.81
2020;2;2;1;7;14.69
2020;2;2;2;7;14.56
2020;2;2;3;7;14.54
2020;2;2;4;7;14.62
2020;2;2;5;7;15.09
2020;2;2;6;7;15.25
2020;2;2;7;7;15.27
2020;2;2;8;7;15.97
2020;2;2;9;7;18.04
2020;2;2;10;7;18.28
2020;2;2;11;7;18.28
2020;2;2;12;7;18.22
2020;2;2;13;7;18.20
2020;2;2;14;7;18.26
2020;2;2;15;7;18.71
2020;2;2;16;7;19.34
2020;2;2;17;7;20.32
2020;2;2;18;7;20.27
2020;2;2;19;7;19.79
2020;2;2;20;7;19.16
2020;2;2;21;7;19.05
2020;2;2;22;7;18.88
2020;2;2;23;7;18.22
2020;2;3;0;1;17.53
2020;2;3;1;1;16.82
2020;2;3;2;1;16.49
2020;2;3;3;1;16.49
2020;2;3;4;1;17.53
2020;2;3;5;1;18.89
2020;2;3;6;1;20.94
2020;2;3;7;1;21.59
2020;2;3;8;1;21.93
2020;2;3;9;1;22.04
2020;2;3;10;1;22.21
2020;2;3;11;1;22.35
2020;2;3;12;1;22.51
2020;2;3;13;1;22.60
2020;2;3;14;1;22.65
2020;2;3;15;1;22.68
2020;2;3;16;1;22.86
2020;2;3;17;1;22.89
2020;2;3;18;1;22.74
2020;2;3;19;1;22.73
2020;2;3;20;1;21.44
2020;2;3;21;1;20.71
2020;2;3;22;1;20.12
2020;2;3;23;1;19.32
2020;2;4;0;2;19.02
2020;2;4;1;2;18.41
2020;2;4;2;2;17.74
2020;2;4;3;2;17.27
2020;2;4;4;2;18.02
2020;2;4;5;2;19.38
2020;2;4;6;2;22.01
2020;2;4;7;2;25.40
2020;2;4;8;2;26.39
2020;2;4;9;2;25.84
2020;2;4;10;2;25.19
2020;2;4;11;2;24.16
2020;2;4;12;2;23.71
2020;2;4;13;2;23.33
2020;2;4;14;2;22.54
2020;2;4;15;2;22.12
2020;2;4;16;2;21.91
2020;2;4;17;2;21.46
2020;2;4;18;2;21.05
2020;2;4;19;2;20.90
2020;2;4;20;2;20.77
2020;2;4;21;2;20.55
2020;2;4;22;2;19.98
2020;2;4;23;2;19.19
2020;2;5;0;3;17.50
2020;2;5;1;3;17.28
2020;2;5;2;3;17.22
2020;2;5;3;3;17.31
2020;2;5;4;3;17.78
2020;2;5;5;3;18.18
2020;2;5;6;3;19.14
2020;2;5;7;3;19.38
2020;2;5;8;3;19.81
2020;2;5;9;3;19.83
2020;2;5;10;3;19.64
2020;2;5;11;3;19.29
2020;2;5;12;3;19.02
2020;2;5;13;3;18.82
2020;2;5;14;3;18.68
2020;2;5;15;3;18.63
2020;2;5;16;3;18.80
2020;2;5;17;3;18.92
2020;2;5;18;3;18.73
2020;2;5;19;3;18.34
2020;2;5;20;3;17.73
2020;2;5;21;3;17.48
2020;2;5;22;3;16.91
2020;2;5;23;3;16.07
2020;2;6;0;4;15.81
2020;2;6;1;4;15.69
2020;2;6;2;4;15.60
2020;2;6;3;4;15.80
2020;2;6;4;4;16.26
2020;2;6;5;4;17.06
2020;2;6;6;4;17.71
2020;2;6;7;4;18.52
2020;2;6;8;4;19.33
2020;2;6;9;4;19.44
2020;2;6;10;4;19.47
2020;2;6;11;4;19.26
2020;2;6;12;4;19.06
2020;2;6;13;4;18.83
2020;2;6;14;4;18.89
2020;2;6;15;4;19.26
2020;2;6;16;4;19.67
2020;2;6;17;4;19.78
2020;2;6;18;4;19.88
2020;2;6;19;4;20.01
2020;2;6;20;4;20.07
2020;2;6;21;4;20.16
2020;2;6;22;4;19.40
2020;2;6;23;4;18.70
2020;2;7;0;5;17.67
2020;2;7;1;5;17.41
2020;2;7;2;5;17.18
2020;2;7;3;5;17.15
2020;2;7;4;5;17.20
2020;2;7;5;5;17.42
2020;2;7;6;5;17.01
2020;2;7;7;5;17.31
2020;2;7;8;5;17.30
2020;2;7;9;5;17.13
2020;2;7;10;5;16.84
2020;2;7;11;5;16.62
2020;2;7;12;5;16.57
2020;2;7;13;5;16.67
2020;2;7;14;5;16.78
2020;2;7;15;5;16.99
2020;2;7;16;5;17.12
2020;2;7;17;5;17.29
2020;2;7;18;5;17.33
2020;2;7;19;5;17.21
2020;2;7;20;5;16.81
2020;2;7;21;5;16.57
2020;2;7;22;5;16.03
2020;2;7;23;5;15.76
2020;2;8;0;6;14.88
2020;2;8;1;6;14.68
2020;2;8;2;6;14.39
2020;2;8;3;6;14.18
2020;2;8;4;6;14.09
2020;2;8;5;6;14.03
2020;2;8;6;6;14.12
2020;2;8;7;6;14.30
2020;2;8;8;6;14.70
2020;2;8;9;6;14.97
2020;2;8;10;6;15.06
2020;2;8;11;6;15.11
2020;2;8;12;6;15.02
2020;2;8;13;6;14.96
2020;2;8;14;6;15.00
